income,Availability,Size,Area
1229,365,1.5,Manhattan
1869,137,1.5,Brooklyn
1512,0,1.5,Manhattan
1260,365,1.5,Brooklyn
1659,216,1.5,Manhattan
941,0,1.5,Manhattan
2439,49,1.5,Manhattan
2002,10,1.5,Manhattan
1527,347,1.5,Brooklyn
1023,350,1.5,Manhattan
2520,271,1.5,Manhattan
2402,19,1.5,Brooklyn
4179,276,1.5,Brooklyn
2940,0,1.5,Manhattan
2079,23,1.5,Brooklyn
3990,298,1.5,Manhattan
269,0,1.5,Brooklyn
1708,192,1.5,Brooklyn
258,350,1.5,Brooklyn
1321,274,1.5,Brooklyn
1680,0,1.5,Manhattan
626,358,1.5,Manhattan
583,195,1.5,Manhattan
1050,365,1.5,Manhattan
931,248,1.5,Manhattan
1050,365,1.5,Manhattan
565,221,1.5,Brooklyn
1594,354,1.5,Brooklyn
1785,38,1.5,Brooklyn
3150,365,1.5,Brooklyn
840,40,1.5,Manhattan
1428,71,1.5,Manhattan
1260,198,1.5,Manhattan
1827,326,1.5,Manhattan
1850,129,1.5,Brooklyn
2730,85,1.5,Queens
802,59,1.5,Brooklyn
155,0,1.5,Brooklyn
1178,333,1.5,Brooklyn
1207,233,1.5,Brooklyn
1468,62,1.5,Manhattan
2189,156,1.5,Brooklyn
3129,235,1.5,Brooklyn
588,285,1.5,Manhattan
3150,225,1.5,Brooklyn
719,210,1.5,Manhattan
224,365,1.5,Manhattan
1449,274,1.5,Manhattan
740,9,1.5,Manhattan
473,134,1.5,Brooklyn
7875,180,1.5,Manhattan
1662,211,1.5,Manhattan
449,0,1.5,Brooklyn
4200,257,1.5,Brooklyn
139,266,1.5,Brooklyn
2100,101,1.5,Manhattan
371,0,1.5,Brooklyn
1680,132,1.5,Manhattan
5679,365,1.5,Brooklyn
1622,361,1.5,Manhattan
4725,158,1.5,Manhattan
1289,162,1.5,Manhattan
1314,365,1.5,Manhattan
1411,301,1.5,Brooklyn
393,265,1.5,Manhattan
213,200,1.5,Queens
412,273,1.5,Queens
1545,169,1.5,Brooklyn
3150,260,1.5,Manhattan
2310,167,1.5,Manhattan
2334,348,1.5,Manhattan
250,0,1.5,Brooklyn
5880,5,1.5,Brooklyn
26,0,1.5,Manhattan
556,159,1.5,Brooklyn
267,341,1.5,Brooklyn
2835,85,1.5,Brooklyn
288,293,1.5,Brooklyn
3150,227,1.5,Brooklyn
1881,0,1.5,Brooklyn
1477,26,1.5,Brooklyn
2940,238,1.5,Manhattan
206,365,1.5,Manhattan
336,272,1.5,Manhattan
2029,298,1.5,Brooklyn
3675,327,1.5,Brooklyn
3450,252,1.5,Manhattan
2121,160,1.5,Brooklyn
4620,364,1.5,Brooklyn
2273,201,1.5,Brooklyn
1680,0,1.5,Brooklyn
2100,322,1.5,Manhattan
2280,64,1.5,Brooklyn
1239,294,1.5,Manhattan
446,181,1.5,Brooklyn
235,226,1.5,Manhattan
2520,103,1.5,Brooklyn
315,309,1.5,Manhattan
6825,147,1.5,Brooklyn
783,152,1.5,Manhattan
3051,311,1.5,Manhattan
2079,0,1.5,Brooklyn
3570,342,1.5,Manhattan
1128,326,1.5,Brooklyn
403,91,1.5,Manhattan
282,0,1.5,Manhattan
347,43,1.5,Manhattan
494,256,1.5,Brooklyn
2520,343,1.5,Manhattan
1869,342,1.5,Brooklyn
1848,126,1.5,Manhattan
1050,3,1.5,Brooklyn
897,339,1.5,Manhattan
30,178,1.5,Brooklyn
1596,276,1.5,Brooklyn
2625,148,1.5,Brooklyn
1349,365,1.5,Brooklyn
227,100,1.5,Brooklyn
134,363,1.5,Manhattan
55,0,1.5,Brooklyn
17,0,1.5,Queens
2415,100,1.5,Brooklyn
264,262,1.5,Brooklyn
4095,237,1.5,Brooklyn
598,0,1.5,Brooklyn
1437,344,1.5,Manhattan
2543,343,1.5,Brooklyn
138,348,1.5,Brooklyn
303,327,1.5,Manhattan
4725,343,1.5,Manhattan
383,44,1.5,Brooklyn
630,0,1.5,Manhattan
1288,32,1.5,Manhattan
3226,28,1.5,Manhattan
1525,253,1.5,Brooklyn
2079,105,1.5,Manhattan
1449,63,1.5,Brooklyn
578,365,1.5,Manhattan
3074,364,1.5,Manhattan
1185,153,1.5,Queens
2835,0,1.5,Brooklyn
225,365,1.5,Manhattan
31,0,1.5,Manhattan
1470,353,1.5,Brooklyn
3104,353,1.5,Brooklyn
1470,306,1.5,Staten Island
5775,40,1.5,Manhattan
798,357,1.5,Bronx
3150,45,1.5,Brooklyn
1328,339,1.5,Manhattan
2310,365,1.5,Brooklyn
1652,224,1.5,Manhattan
3465,121,1.5,Manhattan
2574,312,1.5,Manhattan
1332,0,1.5,Manhattan
1365,134,1.5,Brooklyn
578,361,1.5,Queens
1155,83,1.5,Bronx
1458,348,1.5,Manhattan
1380,0,1.5,Brooklyn
941,170,1.5,Brooklyn
691,110,1.5,Brooklyn
1890,329,1.5,Manhattan
2457,365,1.5,Brooklyn
49,0,1.5,Manhattan
6279,41,1.5,Manhattan
