income,Occupancy_rate,Size,Area
1229,18.2,1.5,Manhattan
1869,70,1.5,Brooklyn
1512,25.2,1.5,Manhattan
1260,70,1.5,Brooklyn
1659,70,1.5,Manhattan
941,39.7,1.5,Manhattan
2439,54.2,1.5,Manhattan
2002,67.4,1.5,Manhattan
1527,57.2,1.5,Brooklyn
1023,40.1,1.5,Manhattan
2520,70,1.5,Manhattan
2402,57.2,1.5,Brooklyn
4179,70,1.5,Brooklyn
2940,70,1.5,Manhattan
2079,70,1.5,Brooklyn
3990,70,1.5,Manhattan
269,3,1.5,Brooklyn
1708,49.5,1.5,Brooklyn
258,26.9,1.5,Brooklyn
1321,36.7,1.5,Brooklyn
1680,70,1.5,Manhattan
626,47.4,1.5,Manhattan
583,11.1,1.5,Manhattan
1050,70,1.5,Manhattan
931,59.7,1.5,Manhattan
1050,70,1.5,Manhattan
565,26.9,1.5,Brooklyn
1594,59.7,1.5,Brooklyn
1785,70,1.5,Brooklyn
3150,70,1.5,Brooklyn
840,70,1.5,Manhattan
1428,70,1.5,Manhattan
1260,31.1,1.5,Manhattan
1827,40.6,1.5,Manhattan
1850,41.1,1.5,Brooklyn
2730,70,1.5,Queens
802,24.3,1.5,Brooklyn
155,4.3,1.5,Brooklyn
1178,49.1,1.5,Brooklyn
1207,50.3,1.5,Brooklyn
1468,32.4,1.5,Manhattan
2189,32,1.5,Brooklyn
3129,70,1.5,Brooklyn
588,9.8,1.5,Manhattan
3150,70,1.5,Brooklyn
719,28.2,1.5,Manhattan
224,6.8,1.5,Manhattan
1449,70,1.5,Manhattan
740,13.7,1.5,Manhattan
473,17.5,1.5,Brooklyn
7875,70,1.5,Manhattan
1662,27.7,1.5,Manhattan
449,16.8,1.5,Brooklyn
4200,70,1.5,Brooklyn
139,10.3,1.5,Brooklyn
2100,70,1.5,Manhattan
371,5.5,1.5,Brooklyn
1680,70,1.5,Manhattan
5679,63.1,1.5,Brooklyn
1622,54.6,1.5,Manhattan
4725,70,1.5,Manhattan
1289,17.9,1.5,Manhattan
1314,67.4,1.5,Manhattan
1411,44.8,1.5,Brooklyn
393,7.7,1.5,Manhattan
213,7.9,1.5,Queens
412,19.6,1.5,Queens
1545,54.2,1.5,Brooklyn
3150,70,1.5,Manhattan
2310,70,1.5,Manhattan
2334,27.3,1.5,Manhattan
250,6.4,1.5,Brooklyn
5880,9.8,1.5,Brooklyn
26,1.7,1.5,Manhattan
556,21.8,1.5,Brooklyn
267,13.7,1.5,Brooklyn
2835,70,1.5,Brooklyn
288,9.8,1.5,Brooklyn
3150,42,1.5,Brooklyn
1881,62.7,1.5,Brooklyn
1477,46.9,1.5,Brooklyn
2940,70,1.5,Manhattan
206,7.7,1.5,Manhattan
336,14,1.5,Manhattan
2029,54.1,1.5,Brooklyn
3675,70,1.5,Brooklyn
3450,23,1.5,Manhattan
2121,70,1.5,Brooklyn
4620,70,1.5,Brooklyn
2273,60.6,1.5,Brooklyn
1680,70,1.5,Brooklyn
2100,70,1.5,Manhattan
2280,38,1.5,Brooklyn
1239,70,1.5,Manhattan
446,11.9,1.5,Brooklyn
235,5.6,1.5,Manhattan
2520,70,1.5,Brooklyn
315,3,1.5,Manhattan
6825,70,1.5,Brooklyn
783,11.1,1.5,Manhattan
3051,45.2,1.5,Manhattan
2079,70,1.5,Brooklyn
3570,70,1.5,Manhattan
1128,9.4,1.5,Brooklyn
403,7.9,1.5,Manhattan
282,9.4,1.5,Manhattan
347,7.7,1.5,Manhattan
494,23.5,1.5,Brooklyn
2520,70,1.5,Manhattan
1869,70,1.5,Brooklyn
1848,33.3,1.5,Manhattan
1050,70,1.5,Brooklyn
897,23,1.5,Manhattan
30,1.3,1.5,Brooklyn
