income,Daily_price,Size,Area
1229,225,1.5,Manhattan
1869,89,1.5,Brooklyn
1512,200,1.5,Manhattan
1260,60,1.5,Brooklyn
1659,79,1.5,Manhattan
941,79,1.5,Manhattan
2439,150,1.5,Manhattan
2002,99,1.5,Manhattan
1527,89,1.5,Brooklyn
1023,85,1.5,Manhattan
2520,120,1.5,Manhattan
2402,140,1.5,Brooklyn
4179,199,1.5,Brooklyn
2940,140,1.5,Manhattan
2079,99,1.5,Brooklyn
3990,190,1.5,Manhattan
269,299,1.5,Brooklyn
1708,115,1.5,Brooklyn
258,32,1.5,Brooklyn
1321,120,1.5,Brooklyn
1680,80,1.5,Manhattan
626,44,1.5,Manhattan
583,175,1.5,Manhattan
1050,50,1.5,Manhattan
931,52,1.5,Manhattan
1050,50,1.5,Manhattan
565,70,1.5,Brooklyn
1594,89,1.5,Brooklyn
1785,85,1.5,Brooklyn
3150,150,1.5,Brooklyn
840,40,1.5,Manhattan
1428,68,1.5,Manhattan
1260,135,1.5,Manhattan
1827,150,1.5,Manhattan
1850,150,1.5,Brooklyn
2730,130,1.5,Queens
802,110,1.5,Brooklyn
155,120,1.5,Brooklyn
1178,80,1.5,Brooklyn
1207,80,1.5,Brooklyn
1468,151,1.5,Manhattan
2189,228,1.5,Brooklyn
3129,149,1.5,Brooklyn
588,200,1.5,Manhattan
3150,150,1.5,Brooklyn
719,85,1.5,Manhattan
224,110,1.5,Manhattan
1449,69,1.5,Manhattan
740,180,1.5,Manhattan
473,90,1.5,Brooklyn
7875,375,1.5,Manhattan
1662,200,1.5,Manhattan
449,89,1.5,Brooklyn
4200,200,1.5,Brooklyn
139,45,1.5,Brooklyn
2100,100,1.5,Manhattan
371,225,1.5,Brooklyn
1680,80,1.5,Manhattan
5679,300,1.5,Brooklyn
1622,99,1.5,Manhattan
4725,225,1.5,Manhattan
1289,240,1.5,Manhattan
1314,65,1.5,Manhattan
1411,105,1.5,Brooklyn
393,170,1.5,Manhattan
213,90,1.5,Queens
412,70,1.5,Queens
1545,95,1.5,Brooklyn
3150,150,1.5,Manhattan
2310,110,1.5,Manhattan
2334,285,1.5,Manhattan
250,130,1.5,Brooklyn
5880,2000,1.5,Brooklyn
26,50,1.5,Manhattan
556,85,1.5,Brooklyn
267,65,1.5,Brooklyn
2835,135,1.5,Brooklyn
288,98,1.5,Brooklyn
3150,250,1.5,Brooklyn
1881,100,1.5,Brooklyn
1477,105,1.5,Brooklyn
2940,140,1.5,Manhattan
206,89,1.5,Manhattan
336,80,1.5,Manhattan
2029,125,1.5,Brooklyn
3675,175,1.5,Brooklyn
3450,500,1.5,Manhattan
2121,101,1.5,Brooklyn
4620,220,1.5,Brooklyn
2273,125,1.5,Brooklyn
1680,80,1.5,Brooklyn
2100,100,1.5,Manhattan
2280,200,1.5,Brooklyn
1239,59,1.5,Manhattan
446,125,1.5,Brooklyn
235,140,1.5,Manhattan
2520,120,1.5,Brooklyn
315,350,1.5,Manhattan
6825,325,1.5,Brooklyn
783,235,1.5,Manhattan
3051,225,1.5,Manhattan
2079,99,1.5,Brooklyn
3570,170,1.5,Manhattan
1128,400,1.5,Brooklyn
403,170,1.5,Manhattan
282,100,1.5,Manhattan
347,150,1.5,Manhattan
494,70,1.5,Brooklyn
2520,120,1.5,Manhattan
1869,89,1.5,Brooklyn
1848,185,1.5,Manhattan
1050,50,1.5,Brooklyn
897,130,1.5,Manhattan
30,77,1.5,Brooklyn
1596,76,1.5,Brooklyn
2625,125,1.5,Brooklyn
1349,135,1.5,Brooklyn
227,199,1.5,Brooklyn
134,160,1.5,Manhattan
55,140,1.5,Brooklyn
17,140,1.5,Queens
2415,115,1.5,Brooklyn
264,160,1.5,Brooklyn
4095,195,1.5,Brooklyn
598,44,1.5,Brooklyn
1437,156,1.5,Manhattan
2543,125,1.5,Brooklyn
138,115,1.5,Brooklyn
303,79,1.5,Manhattan
4725,225,1.5,Manhattan
383,125,1.5,Brooklyn
630,150,1.5,Manhattan
1288,162,1.5,Manhattan
3226,219,1.5,Manhattan
1525,475,1.5,Brooklyn
2079,99,1.5,Manhattan
1449,69,1.5,Brooklyn
578,119,1.5,Manhattan
3074,150,1.5,Manhattan
1185,79,1.5,Queens
2835,135,1.5,Brooklyn
225,250,1.5,Manhattan
31,80,1.5,Manhattan
1470,70,1.5,Brooklyn
3104,165,1.5,Brooklyn
1470,70,1.5,Staten Island
5775,275,1.5,Manhattan
798,38,1.5,Bronx
3150,150,1.5,Brooklyn
1328,125,1.5,Manhattan
2310,110,1.5,Brooklyn
1652,170,1.5,Manhattan
3465,165,1.5,Manhattan
2574,150,1.5,Manhattan
1332,100,1.5,Manhattan
1365,65,1.5,Brooklyn
578,350,1.5,Queens
1155,55,1.5,Bronx
1458,99,1.5,Manhattan
1380,200,1.5,Brooklyn
941,150,1.5,Brooklyn
691,120,1.5,Brooklyn
1890,90,1.5,Manhattan
2457,175,1.5,Brooklyn
49,125,1.5,Manhattan
6279,299,1.5,Manhattan
2598,139,1.5,Brooklyn
2730,130,1.5,Manhattan
2583,123,1.5,Manhattan
332,55,1.5,Queens
267,65,1.5,Brooklyn
1445,195,1.5,Manhattan
370,80,1.5,Brooklyn
397,98,1.5,Queens
125,160,1.5,Queens
1256,265,1.5,Queens
3990,190,1.5,Brooklyn
5229,249,1.5,Brooklyn
120,105,1.5,Manhattan
4200,200,1.5,Manhattan
2100,100,1.5,Brooklyn
2251,160,1.5,Manhattan
882,42,1.5,Bronx
388,55,1.5,Queens
2100,100,1.5,Manhattan
2940,140,1.5,Brooklyn
337,71,1.5,Brooklyn
1814,130,1.5,Manhattan
989,69,1.5,Brooklyn
360,85,1.5,Brooklyn
1575,75,1.5,Manhattan
538,140,1.5,Queens
3339,159,1.5,Brooklyn
3969,189,1.5,Manhattan
3203,250,1.5,Manhattan
186,239,1.5,Manhattan
4417,308,1.5,Manhattan
3255,155,1.5,Manhattan
1260,60,1.5,Manhattan
480,139,1.5,Brooklyn
554,120,1.5,Manhattan
941,150,1.5,Manhattan
39,145,1.5,Queens
638,250,1.5,Manhattan
5250,250,1.5,Manhattan
41,150,1.5,Manhattan
317,225,1.5,Manhattan
2625,125,1.5,Manhattan
2310,110,1.5,Manhattan
404,175,1.5,Manhattan
1699,99,1.5,Manhattan
99,195,1.5,Manhattan
2940,140,1.5,Manhattan
328,135,1.5,Manhattan
3699,900,1.5,Manhattan
1365,65,1.5,Manhattan
2310,110,1.5,Manhattan
1810,130,1.5,Manhattan
2079,99,1.5,Brooklyn
798,38,1.5,Staten Island
715,38,1.5,Staten Island
2229,129,1.5,Manhattan
777,37,1.5,Staten Island
3675,175,1.5,Manhattan
2036,205,1.5,Manhattan
4266,285,1.5,Brooklyn
2163,103,1.5,Manhattan
1449,69,1.5,Brooklyn
798,38,1.5,Staten Island
2709,129,1.5,Queens
135,60,1.5,Brooklyn
1890,90,1.5,Bronx
733,110,1.5,Bronx
2835,135,1.5,Brooklyn
6891,390,1.5,Manhattan
376,70,1.5,Brooklyn
272,75,1.5,Manhattan
452,60,1.5,Brooklyn
4200,200,1.5,Manhattan
2100,100,1.5,Brooklyn
189,70,1.5,Brooklyn
961,75,1.5,Brooklyn
1260,60,1.5,Brooklyn
1428,68,1.5,Manhattan
2415,115,1.5,Manhattan
585,75,1.5,Brooklyn
1260,60,1.5,Brooklyn
217,129,1.5,Manhattan
1275,130,1.5,Brooklyn
1690,95,1.5,Brooklyn
230,75,1.5,Manhattan
226,175,1.5,Brooklyn
1630,190,1.5,Brooklyn
3988,212,1.5,Manhattan
1582,95,1.5,Manhattan
2835,135,1.5,Manhattan
3150,150,1.5,Brooklyn
2092,190,1.5,Brooklyn
703,219,1.5,Manhattan
2013,124,1.5,Manhattan
2835,135,1.5,Brooklyn
1625,122,1.5,Manhattan
1465,109,1.5,Manhattan
1658,85,1.5,Manhattan
2466,145,1.5,Brooklyn
1355,199,1.5,Manhattan
4958,250,1.5,Brooklyn
12075,575,1.5,Manhattan
537,199,1.5,Manhattan
3150,150,1.5,Manhattan
1485,90,1.5,Manhattan
1365,65,1.5,Manhattan
300,130,1.5,Brooklyn
1172,155,1.5,Brooklyn
3195,500,1.5,Manhattan
1455,265,1.5,Manhattan
2625,125,1.5,Manhattan
4200,200,1.5,Manhattan
1347,229,1.5,Brooklyn
521,110,1.5,Bronx
1030,110,1.5,Manhattan
287,59,1.5,Brooklyn
1021,60,1.5,Manhattan
2094,195,1.5,Brooklyn
1404,169,1.5,Brooklyn
447,113,1.5,Manhattan
2415,115,1.5,Queens
840,149,1.5,Manhattan
29,75,1.5,Brooklyn
1995,95,1.5,Brooklyn
3150,150,1.5,Manhattan
1097,170,1.5,Brooklyn
3549,169,1.5,Brooklyn
800,179,1.5,Brooklyn
846,150,1.5,Manhattan
154,135,1.5,Brooklyn
1152,120,1.5,Brooklyn
1365,65,1.5,Manhattan
356,349,1.5,Brooklyn
314,349,1.5,Brooklyn
67,249,1.5,Brooklyn
819,100,1.5,Brooklyn
2304,200,1.5,Brooklyn
3549,169,1.5,Manhattan
3363,185,1.5,Brooklyn
1365,65,1.5,Brooklyn
