income,review_scores,Size,Area
1229,94,1.5,Manhattan
1869,90,1.5,Brooklyn
1512,90,1.5,Manhattan
1260,90,1.5,Brooklyn
1659,84,1.5,Manhattan
941,98,1.5,Manhattan
2439,94,1.5,Manhattan
2002,97,1.5,Manhattan
1527,94,1.5,Brooklyn
1023,93,1.5,Manhattan
2520,97,1.5,Manhattan
2402,91,1.5,Brooklyn
4179,97,1.5,Brooklyn
2940,96,1.5,Manhattan
2079,95,1.5,Brooklyn
3990,,1.5,Manhattan
269,98,1.5,Brooklyn
1708,93,1.5,Brooklyn
258,92,1.5,Brooklyn
1321,95,1.5,Brooklyn
1680,,1.5,Manhattan
626,83,1.5,Manhattan
583,94,1.5,Manhattan
1050,87,1.5,Manhattan
931,98,1.5,Manhattan
1050,89,1.5,Manhattan
565,93,1.5,Brooklyn
1594,95,1.5,Brooklyn
1785,87,1.5,Brooklyn
3150,,1.5,Brooklyn
840,96,1.5,Manhattan
1428,88,1.5,Manhattan
1260,95,1.5,Manhattan
1827,96,1.5,Manhattan
1850,97,1.5,Brooklyn
2730,98,1.5,Queens
802,89,1.5,Brooklyn
155,95,1.5,Brooklyn
1178,94,1.5,Brooklyn
1207,93,1.5,Brooklyn
1468,92,1.5,Manhattan
2189,94,1.5,Brooklyn
3129,97,1.5,Brooklyn
588,96,1.5,Manhattan
3150,97,1.5,Brooklyn
719,83,1.5,Manhattan
224,98,1.5,Manhattan
1449,93,1.5,Manhattan
740,91,1.5,Manhattan
473,97,1.5,Brooklyn
7875,100,1.5,Manhattan
1662,93,1.5,Manhattan
449,79,1.5,Brooklyn
4200,99,1.5,Brooklyn
139,92,1.5,Brooklyn
2100,89,1.5,Manhattan
371,100,1.5,Brooklyn
1680,95,1.5,Manhattan
5679,94,1.5,Brooklyn
1622,93,1.5,Manhattan
4725,97,1.5,Manhattan
1289,96,1.5,Manhattan
1314,98,1.5,Manhattan
1411,99,1.5,Brooklyn
393,97,1.5,Manhattan
213,99,1.5,Queens
412,100,1.5,Queens
1545,97,1.5,Brooklyn
3150,99,1.5,Manhattan
2310,94,1.5,Manhattan
2334,88,1.5,Manhattan
250,94,1.5,Brooklyn
5880,93,1.5,Brooklyn
26,60,1.5,Manhattan
556,97,1.5,Brooklyn
267,86,1.5,Brooklyn
2835,98,1.5,Brooklyn
288,89,1.5,Brooklyn
3150,99,1.5,Brooklyn
1881,81,1.5,Brooklyn
1477,90,1.5,Brooklyn
2940,93,1.5,Manhattan
206,100,1.5,Manhattan
336,99,1.5,Manhattan
2029,92,1.5,Brooklyn
3675,94,1.5,Brooklyn
3450,88,1.5,Manhattan
2121,95,1.5,Brooklyn
4620,96,1.5,Brooklyn
2273,93,1.5,Brooklyn
1680,92,1.5,Brooklyn
2100,95,1.5,Manhattan
2280,98,1.5,Brooklyn
1239,91,1.5,Manhattan
446,96,1.5,Brooklyn
235,97,1.5,Manhattan
2520,99,1.5,Brooklyn
315,91,1.5,Manhattan
6825,96,1.5,Brooklyn
783,92,1.5,Manhattan
3051,94,1.5,Manhattan
2079,98,1.5,Brooklyn
3570,95,1.5,Manhattan
1128,95,1.5,Brooklyn
403,92,1.5,Manhattan
282,97,1.5,Manhattan
347,99,1.5,Manhattan
494,93,1.5,Brooklyn
2520,92,1.5,Manhattan
1869,98,1.5,Brooklyn
1848,95,1.5,Manhattan
1050,98,1.5,Brooklyn
897,97,1.5,Manhattan
30,87,1.5,Brooklyn
1596,90,1.5,Brooklyn
2625,93,1.5,Brooklyn
1349,97,1.5,Brooklyn
227,100,1.5,Brooklyn
134,100,1.5,Manhattan
55,90,1.5,Brooklyn
17,80,1.5,Queens
2415,92,1.5,Brooklyn
264,100,1.5,Brooklyn
4095,99,1.5,Brooklyn
598,100,1.5,Brooklyn
1437,98,1.5,Manhattan
2543,94,1.5,Brooklyn
138,70,1.5,Brooklyn
303,95,1.5,Manhattan
4725,98,1.5,Manhattan
383,88,1.5,Brooklyn
630,99,1.5,Manhattan
1288,90,1.5,Manhattan
3226,95,1.5,Manhattan
1525,93,1.5,Brooklyn
2079,84,1.5,Manhattan
1449,96,1.5,Brooklyn
578,97,1.5,Manhattan
3074,91,1.5,Manhattan
1185,98,1.5,Queens
2835,94,1.5,Brooklyn
225,100,1.5,Manhattan
31,80,1.5,Manhattan
1470,91,1.5,Brooklyn
3104,92,1.5,Brooklyn
1470,96,1.5,Staten Island
5775,98,1.5,Manhattan
798,98,1.5,Bronx
3150,95,1.5,Brooklyn
1328,95,1.5,Manhattan
2310,94,1.5,Brooklyn
1652,95,1.5,Manhattan
3465,90,1.5,Manhattan
2574,97,1.5,Manhattan
1332,96,1.5,Manhattan
1365,98,1.5,Brooklyn
578,88,1.5,Queens
1155,,1.5,Bronx
1458,93,1.5,Manhattan
1380,98,1.5,Brooklyn
941,94,1.5,Brooklyn
691,95,1.5,Brooklyn
1890,96,1.5,Manhattan
2457,89,1.5,Brooklyn
49,90,1.5,Manhattan
6279,95,1.5,Manhattan
2598,96,1.5,Brooklyn
2730,,1.5,Manhattan
2583,93,1.5,Manhattan
332,88,1.5,Queens
267,92,1.5,Brooklyn
1445,60,1.5,Manhattan
370,98,1.5,Brooklyn
397,87,1.5,Queens
125,80,1.5,Queens
1256,95,1.5,Queens
3990,,1.5,Brooklyn
5229,94,1.5,Brooklyn
120,90,1.5,Manhattan
4200,,1.5,Manhattan
2100,97,1.5,Brooklyn
2251,92,1.5,Manhattan
882,98,1.5,Bronx
388,87,1.5,Queens
2100,97,1.5,Manhattan
2940,99,1.5,Brooklyn
337,99,1.5,Brooklyn
1814,97,1.5,Manhattan
989,96,1.5,Brooklyn
360,96,1.5,Brooklyn
1575,93,1.5,Manhattan
538,92,1.5,Queens
3339,94,1.5,Brooklyn
3969,95,1.5,Manhattan
3203,96,1.5,Manhattan
186,97,1.5,Manhattan
4417,99,1.5,Manhattan
3255,97,1.5,Manhattan
1260,93,1.5,Manhattan
480,97,1.5,Brooklyn
554,96,1.5,Manhattan
941,93,1.5,Manhattan
39,100,1.5,Queens
638,90,1.5,Manhattan
5250,92,1.5,Manhattan
41,90,1.5,Manhattan
317,98,1.5,Manhattan
2625,97,1.5,Manhattan
2310,94,1.5,Manhattan
404,100,1.5,Manhattan
1699,90,1.5,Manhattan
99,100,1.5,Manhattan
2940,89,1.5,Manhattan
328,92,1.5,Manhattan
3699,92,1.5,Manhattan
1365,95,1.5,Manhattan
2310,85,1.5,Manhattan
1810,96,1.5,Manhattan
2079,90,1.5,Brooklyn
798,89,1.5,Staten Island
715,87,1.5,Staten Island
2229,96,1.5,Manhattan
777,88,1.5,Staten Island
3675,85,1.5,Manhattan
2036,98,1.5,Manhattan
4266,96,1.5,Brooklyn
2163,97,1.5,Manhattan
1449,97,1.5,Brooklyn
798,92,1.5,Staten Island
2709,93,1.5,Queens
135,93,1.5,Brooklyn
1890,,1.5,Bronx
733,98,1.5,Bronx
2835,92,1.5,Brooklyn
6891,87,1.5,Manhattan
376,93,1.5,Brooklyn
272,100,1.5,Manhattan
452,98,1.5,Brooklyn
4200,,1.5,Manhattan
2100,96,1.5,Brooklyn
189,90,1.5,Brooklyn
961,98,1.5,Brooklyn
1260,96,1.5,Brooklyn
1428,91,1.5,Manhattan
2415,98,1.5,Manhattan
585,98,1.5,Brooklyn
1260,,1.5,Brooklyn
217,100,1.5,Manhattan
1275,93,1.5,Brooklyn
1690,90,1.5,Brooklyn
230,98,1.5,Manhattan
226,100,1.5,Brooklyn
1630,97,1.5,Brooklyn
3988,99,1.5,Manhattan
1582,97,1.5,Manhattan
2835,87,1.5,Manhattan
3150,96,1.5,Brooklyn
2092,99,1.5,Brooklyn
703,95,1.5,Manhattan
2013,97,1.5,Manhattan
2835,98,1.5,Brooklyn
1625,96,1.5,Manhattan
1465,84,1.5,Manhattan
1658,91,1.5,Manhattan
2466,89,1.5,Brooklyn
1355,99,1.5,Manhattan
4958,99,1.5,Brooklyn
12075,97,1.5,Manhattan
537,96,1.5,Manhattan
3150,96,1.5,Manhattan
1485,99,1.5,Manhattan
1365,97,1.5,Manhattan
300,99,1.5,Brooklyn
1172,83,1.5,Brooklyn
3195,94,1.5,Manhattan
1455,99,1.5,Manhattan
2625,96,1.5,Manhattan
4200,97,1.5,Manhattan
1347,100,1.5,Brooklyn
521,94,1.5,Bronx
1030,91,1.5,Manhattan
287,90,1.5,Brooklyn
1021,60,1.5,Manhattan
2094,100,1.5,Brooklyn
1404,93,1.5,Brooklyn
447,81,1.5,Manhattan
2415,93,1.5,Queens
840,93,1.5,Manhattan
29,93,1.5,Brooklyn
1995,94,1.5,Brooklyn
3150,96,1.5,Manhattan
1097,99,1.5,Brooklyn
3549,97,1.5,Brooklyn
800,98,1.5,Brooklyn
846,95,1.5,Manhattan
154,92,1.5,Brooklyn
1152,82,1.5,Brooklyn
1365,87,1.5,Manhattan
356,100,1.5,Brooklyn
314,91,1.5,Brooklyn
67,80,1.5,Brooklyn
819,97,1.5,Brooklyn
2304,96,1.5,Brooklyn
3549,96,1.5,Manhattan
3363,98,1.5,Brooklyn
1365,89,1.5,Brooklyn
546,93,1.5,Brooklyn
1094,98,1.5,Manhattan
365,98,1.5,Brooklyn
95,80,1.5,Brooklyn
3339,94,1.5,Manhattan
1995,94,1.5,Manhattan
284,90,1.5,Brooklyn
3922,95,1.5,Manhattan
1095,94,1.5,Manhattan
1890,89,1.5,Brooklyn
1382,94,1.5,Brooklyn
1238,98,1.5,Queens
2100,,1.5,Brooklyn
3675,95,1.5,Brooklyn
1580,97,1.5,Brooklyn
235,100,1.5,Brooklyn
180,92,1.5,Brooklyn
252,100,1.5,Brooklyn
1404,96,1.5,Manhattan
1049,99,1.5,Manhattan
1033,100,1.5,Brooklyn
1210,94,1.5,Manhattan
294,94,1.5,Queens
1747,99,1.5,Brooklyn
5365,97,1.5,Manhattan
447,98,1.5,Brooklyn
3740,93,1.5,Manhattan
3360,96,1.5,Brooklyn
683,83,1.5,Brooklyn
116,98,1.5,Queens
1020,85,1.5,Brooklyn
1239,98,1.5,Manhattan
1260,97,1.5,Manhattan
1539,97,1.5,Brooklyn
3675,95,1.5,Brooklyn
936,92,1.5,Manhattan
3129,98,1.5,Manhattan
69,90,1.5,Brooklyn
24,100,1.5,Manhattan
1586,93,1.5,Manhattan
1995,92,1.5,Brooklyn
1890,,1.5,Brooklyn
1155,95,1.5,Brooklyn
1374,96,1.5,Manhattan
842,90,1.5,Brooklyn
2026,98,1.5,Manhattan
638,96,1.5,Manhattan
2079,91,1.5,Manhattan
1665,90,1.5,Manhattan
1680,92,1.5,Brooklyn
3675,90,1.5,Brooklyn
1071,96,1.5,Brooklyn
1827,,1.5,Manhattan
1511,93,1.5,Brooklyn
1356,89,1.5,Brooklyn
465,99,1.5,Brooklyn
2211,94,1.5,Manhattan
4041,99,1.5,Manhattan
621,98,1.5,Brooklyn
1798,96,1.5,Manhattan
3969,87,1.5,Manhattan
33,73,1.5,Manhattan
468,100,1.5,Brooklyn
2150,93,1.5,Manhattan
3465,98,1.5,Brooklyn
1254,94,1.5,Queens
225,100,1.5,Brooklyn
1981,96,1.5,Manhattan
1181,92,1.5,Brooklyn
1050,94,1.5,Brooklyn
2111,96,1.5,Brooklyn
170,96,1.5,Manhattan
675,98,1.5,Brooklyn
853,89,1.5,Manhattan
360,98,1.5,Brooklyn
1344,87,1.5,Brooklyn
5229,98,1.5,Brooklyn
1112,94,1.5,Brooklyn
2133,94,1.5,Manhattan
2100,94,1.5,Brooklyn
4374,87,1.5,Brooklyn
956,91,1.5,Manhattan
1544,93,1.5,Manhattan
423,92,1.5,Manhattan
785,97,1.5,Manhattan
628,91,1.5,Manhattan
161,94,1.5,Brooklyn
123,93,1.5,Manhattan
6195,95,1.5,Manhattan
383,98,1.5,Manhattan
4966,97,1.5,Brooklyn
3255,94,1.5,Manhattan
5250,,1.5,Manhattan
1449,92,1.5,Bronx
833,100,1.5,Manhattan
316,99,1.5,Brooklyn
2709,97,1.5,Queens
100,97,1.5,Brooklyn
3150,,1.5,Brooklyn
823,94,1.5,Manhattan
6300,96,1.5,Manhattan
798,97,1.5,Queens
3675,98,1.5,Manhattan
410,88,1.5,Manhattan
3218,97,1.5,Brooklyn
1512,90,1.5,Brooklyn
549,91,1.5,Brooklyn
2179,95,1.5,Brooklyn
66,100,1.5,Brooklyn
2919,88,1.5,Brooklyn
845,95,1.5,Brooklyn
492,98,1.5,Brooklyn
3150,97,1.5,Manhattan
2844,97,1.5,Manhattan
798,97,1.5,Queens
35,87,1.5,Brooklyn
4037,99,1.5,Brooklyn
620,84,1.5,Brooklyn
1869,91,1.5,Brooklyn
1265,95,1.5,Manhattan
2079,80,1.5,Manhattan
1382,93,1.5,Manhattan
495,100,1.5,Brooklyn
672,98,1.5,Queens
5250,93,1.5,Manhattan
1260,99,1.5,Brooklyn
365,95,1.5,Manhattan
273,97,1.5,Brooklyn
117,100,1.5,Manhattan
85,100,1.5,Brooklyn
2205,91,1.5,Brooklyn
2504,92,1.5,Manhattan
959,94,1.5,Manhattan
961,94,1.5,Brooklyn
616,88,1.5,Bronx
979,93,1.5,Brooklyn
2226,,1.5,Brooklyn
152,100,1.5,Manhattan
783,97,1.5,Brooklyn
1064,96,1.5,Manhattan
5250,95,1.5,Manhattan
1029,97,1.5,Manhattan
1911,96,1.5,Brooklyn
5832,93,1.5,Manhattan
671,100,1.5,Brooklyn
36000,99,1.5,Manhattan
666,94,1.5,Manhattan
7260,100,1.5,Manhattan
2444,95,1.5,Manhattan
1829,98,1.5,Manhattan
423,98,1.5,Manhattan
3528,97,1.5,Queens
3300,94,1.5,Queens
3260,95,1.5,Manhattan
1598,95,1.5,Manhattan
2625,93,1.5,Bronx
1470,90,1.5,Brooklyn
1470,99,1.5,Brooklyn
84,100,1.5,Manhattan
2079,96,1.5,Brooklyn
68,90,1.5,Manhattan
1413,99,1.5,Brooklyn
1332,97,1.5,Manhattan
260,100,1.5,Brooklyn
1319,94,1.5,Manhattan
31,80,1.5,Manhattan
3549,96,1.5,Brooklyn
1268,93,1.5,Brooklyn
923,98,1.5,Manhattan
941,99,1.5,Brooklyn
993,95,1.5,Brooklyn
2730,92,1.5,Brooklyn
1109,90,1.5,Manhattan
2919,97,1.5,Manhattan
1575,96,1.5,Queens
478,96,1.5,Manhattan
1050,92,1.5,Manhattan
903,99,1.5,Brooklyn
467,93,1.5,Brooklyn
936,94,1.5,Brooklyn
2205,99,1.5,Brooklyn
509,100,1.5,Brooklyn
1428,95,1.5,Manhattan
2546,95,1.5,Manhattan
2079,96,1.5,Brooklyn
2100,97,1.5,Brooklyn
1890,,1.5,Manhattan
2400,91,1.5,Manhattan
