Availability,Daily_price,Size,Area
365,225,1.5,Manhattan
137,89,1.5,Brooklyn
0,200,1.5,Manhattan
365,60,1.5,Brooklyn
216,79,1.5,Manhattan
0,79,1.5,Manhattan
49,150,1.5,Manhattan
10,99,1.5,Manhattan
347,89,1.5,Brooklyn
350,85,1.5,Manhattan
271,120,1.5,Manhattan
19,140,1.5,Brooklyn
276,199,1.5,Brooklyn
0,140,1.5,Manhattan
23,99,1.5,Brooklyn
298,190,1.5,Manhattan
0,299,1.5,Brooklyn
192,115,1.5,Brooklyn
350,32,1.5,Brooklyn
274,120,1.5,Brooklyn
0,80,1.5,Manhattan
358,44,1.5,Manhattan
195,175,1.5,Manhattan
365,50,1.5,Manhattan
248,52,1.5,Manhattan
365,50,1.5,Manhattan
221,70,1.5,Brooklyn
354,89,1.5,Brooklyn
38,85,1.5,Brooklyn
365,150,1.5,Brooklyn
40,40,1.5,Manhattan
71,68,1.5,Manhattan
198,135,1.5,Manhattan
326,150,1.5,Manhattan
129,150,1.5,Brooklyn
85,130,1.5,Queens
59,110,1.5,Brooklyn
0,120,1.5,Brooklyn
333,80,1.5,Brooklyn
233,80,1.5,Brooklyn
62,151,1.5,Manhattan
156,228,1.5,Brooklyn
235,149,1.5,Brooklyn
285,200,1.5,Manhattan
225,150,1.5,Brooklyn
210,85,1.5,Manhattan
365,110,1.5,Manhattan
274,69,1.5,Manhattan
9,180,1.5,Manhattan
134,90,1.5,Brooklyn
180,375,1.5,Manhattan
211,200,1.5,Manhattan
0,89,1.5,Brooklyn
257,200,1.5,Brooklyn
266,45,1.5,Brooklyn
101,100,1.5,Manhattan
0,225,1.5,Brooklyn
132,80,1.5,Manhattan
365,300,1.5,Brooklyn
361,99,1.5,Manhattan
158,225,1.5,Manhattan
162,240,1.5,Manhattan
365,65,1.5,Manhattan
301,105,1.5,Brooklyn
265,170,1.5,Manhattan
200,90,1.5,Queens
273,70,1.5,Queens
169,95,1.5,Brooklyn
260,150,1.5,Manhattan
167,110,1.5,Manhattan
348,285,1.5,Manhattan
0,130,1.5,Brooklyn
5,2000,1.5,Brooklyn
0,50,1.5,Manhattan
159,85,1.5,Brooklyn
341,65,1.5,Brooklyn
85,135,1.5,Brooklyn
293,98,1.5,Brooklyn
227,250,1.5,Brooklyn
0,100,1.5,Brooklyn
26,105,1.5,Brooklyn
238,140,1.5,Manhattan
365,89,1.5,Manhattan
272,80,1.5,Manhattan
298,125,1.5,Brooklyn
327,175,1.5,Brooklyn
252,500,1.5,Manhattan
160,101,1.5,Brooklyn
364,220,1.5,Brooklyn
201,125,1.5,Brooklyn
0,80,1.5,Brooklyn
322,100,1.5,Manhattan
64,200,1.5,Brooklyn
294,59,1.5,Manhattan
181,125,1.5,Brooklyn
226,140,1.5,Manhattan
103,120,1.5,Brooklyn
309,350,1.5,Manhattan
147,325,1.5,Brooklyn
152,235,1.5,Manhattan
311,225,1.5,Manhattan
0,99,1.5,Brooklyn
342,170,1.5,Manhattan
326,400,1.5,Brooklyn
91,170,1.5,Manhattan
0,100,1.5,Manhattan
43,150,1.5,Manhattan
256,70,1.5,Brooklyn
343,120,1.5,Manhattan
342,89,1.5,Brooklyn
126,185,1.5,Manhattan
3,50,1.5,Brooklyn
339,130,1.5,Manhattan
178,77,1.5,Brooklyn
276,76,1.5,Brooklyn
148,125,1.5,Brooklyn
365,135,1.5,Brooklyn
100,199,1.5,Brooklyn
363,160,1.5,Manhattan
0,140,1.5,Brooklyn
0,140,1.5,Queens
100,115,1.5,Brooklyn
262,160,1.5,Brooklyn
237,195,1.5,Brooklyn
0,44,1.5,Brooklyn
344,156,1.5,Manhattan
343,125,1.5,Brooklyn
348,115,1.5,Brooklyn
327,79,1.5,Manhattan
343,225,1.5,Manhattan
44,125,1.5,Brooklyn
0,150,1.5,Manhattan
32,162,1.5,Manhattan
28,219,1.5,Manhattan
253,475,1.5,Brooklyn
105,99,1.5,Manhattan
63,69,1.5,Brooklyn
365,119,1.5,Manhattan
364,150,1.5,Manhattan
153,79,1.5,Queens
0,135,1.5,Brooklyn
365,250,1.5,Manhattan
0,80,1.5,Manhattan
353,70,1.5,Brooklyn
353,165,1.5,Brooklyn
306,70,1.5,Staten Island
40,275,1.5,Manhattan
357,38,1.5,Bronx
45,150,1.5,Brooklyn
339,125,1.5,Manhattan
365,110,1.5,Brooklyn
224,170,1.5,Manhattan
121,165,1.5,Manhattan
312,150,1.5,Manhattan
0,100,1.5,Manhattan
134,65,1.5,Brooklyn
361,350,1.5,Queens
83,55,1.5,Bronx
348,99,1.5,Manhattan
0,200,1.5,Brooklyn
170,150,1.5,Brooklyn
110,120,1.5,Brooklyn
329,90,1.5,Manhattan
365,175,1.5,Brooklyn
0,125,1.5,Manhattan
41,299,1.5,Manhattan
293,139,1.5,Brooklyn
0,130,1.5,Manhattan
82,123,1.5,Manhattan
365,55,1.5,Queens
365,65,1.5,Brooklyn
0,195,1.5,Manhattan
0,80,1.5,Brooklyn
365,98,1.5,Queens
365,160,1.5,Queens
365,265,1.5,Queens
365,190,1.5,Brooklyn
0,249,1.5,Brooklyn
363,105,1.5,Manhattan
365,200,1.5,Manhattan
0,100,1.5,Brooklyn
321,160,1.5,Manhattan
341,42,1.5,Bronx
365,55,1.5,Queens
176,100,1.5,Manhattan
123,140,1.5,Brooklyn
86,71,1.5,Brooklyn
89,130,1.5,Manhattan
48,69,1.5,Brooklyn
0,85,1.5,Brooklyn
331,75,1.5,Manhattan
347,140,1.5,Queens
317,159,1.5,Brooklyn
0,189,1.5,Manhattan
1,250,1.5,Manhattan
362,239,1.5,Manhattan
223,308,1.5,Manhattan
211,155,1.5,Manhattan
271,60,1.5,Manhattan
231,139,1.5,Brooklyn
304,120,1.5,Manhattan
136,150,1.5,Manhattan
365,145,1.5,Queens
209,250,1.5,Manhattan
42,250,1.5,Manhattan
365,150,1.5,Manhattan
0,225,1.5,Manhattan
365,125,1.5,Manhattan
299,110,1.5,Manhattan
365,175,1.5,Manhattan
338,99,1.5,Manhattan
0,195,1.5,Manhattan
0,140,1.5,Manhattan
0,135,1.5,Manhattan
225,900,1.5,Manhattan
0,65,1.5,Manhattan
180,110,1.5,Manhattan
72,130,1.5,Manhattan
0,99,1.5,Brooklyn
352,38,1.5,Staten Island
339,38,1.5,Staten Island
333,129,1.5,Manhattan
357,37,1.5,Staten Island
297,175,1.5,Manhattan
89,205,1.5,Manhattan
312,285,1.5,Brooklyn
5,103,1.5,Manhattan
34,69,1.5,Brooklyn
345,38,1.5,Staten Island
309,129,1.5,Queens
0,60,1.5,Brooklyn
346,90,1.5,Bronx
365,110,1.5,Bronx
0,135,1.5,Brooklyn
299,390,1.5,Manhattan
257,70,1.5,Brooklyn
323,75,1.5,Manhattan
363,60,1.5,Brooklyn
0,200,1.5,Manhattan
321,100,1.5,Brooklyn
266,70,1.5,Brooklyn
335,75,1.5,Brooklyn
182,60,1.5,Brooklyn
61,68,1.5,Manhattan
95,115,1.5,Manhattan
46,75,1.5,Brooklyn
0,60,1.5,Brooklyn
235,129,1.5,Manhattan
46,130,1.5,Brooklyn
62,95,1.5,Brooklyn
226,75,1.5,Manhattan
42,175,1.5,Brooklyn
331,190,1.5,Brooklyn
66,212,1.5,Manhattan
350,95,1.5,Manhattan
179,135,1.5,Manhattan
247,150,1.5,Brooklyn
281,190,1.5,Brooklyn
3,219,1.5,Manhattan
94,124,1.5,Manhattan
35,135,1.5,Brooklyn
246,122,1.5,Manhattan
0,109,1.5,Manhattan
348,85,1.5,Manhattan
87,145,1.5,Brooklyn
264,199,1.5,Manhattan
181,250,1.5,Brooklyn
266,575,1.5,Manhattan
320,199,1.5,Manhattan
26,150,1.5,Manhattan
105,90,1.5,Manhattan
0,65,1.5,Manhattan
0,130,1.5,Brooklyn
365,155,1.5,Brooklyn
301,500,1.5,Manhattan
296,265,1.5,Manhattan
99,125,1.5,Manhattan
131,200,1.5,Manhattan
41,229,1.5,Brooklyn
29,110,1.5,Bronx
0,110,1.5,Manhattan
90,59,1.5,Brooklyn
58,60,1.5,Manhattan
134,195,1.5,Brooklyn
139,169,1.5,Brooklyn
154,113,1.5,Manhattan
298,115,1.5,Queens
90,149,1.5,Manhattan
0,75,1.5,Brooklyn
8,95,1.5,Brooklyn
143,150,1.5,Manhattan
60,170,1.5,Brooklyn
200,169,1.5,Brooklyn
68,179,1.5,Brooklyn
149,150,1.5,Manhattan
0,135,1.5,Brooklyn
234,120,1.5,Brooklyn
131,65,1.5,Manhattan
28,349,1.5,Brooklyn
29,349,1.5,Brooklyn
29,249,1.5,Brooklyn
0,100,1.5,Brooklyn
109,200,1.5,Brooklyn
274,169,1.5,Manhattan
243,185,1.5,Brooklyn
330,65,1.5,Brooklyn
40,130,1.5,Brooklyn
23,225,1.5,Manhattan
74,179,1.5,Brooklyn
0,150,1.5,Brooklyn
144,159,1.5,Manhattan
89,95,1.5,Manhattan
179,79,1.5,Brooklyn
141,199,1.5,Manhattan
361,69,1.5,Manhattan
355,90,1.5,Brooklyn
244,120,1.5,Brooklyn
360,80,1.5,Queens
365,100,1.5,Brooklyn
107,175,1.5,Brooklyn
347,120,1.5,Brooklyn
0,140,1.5,Brooklyn
42,200,1.5,Brooklyn
365,165,1.5,Brooklyn
226,130,1.5,Manhattan
142,60,1.5,Manhattan
44,123,1.5,Brooklyn
313,67,1.5,Manhattan
88,50,1.5,Queens
80,130,1.5,Brooklyn
163,279,1.5,Manhattan
0,100,1.5,Brooklyn
0,212,1.5,Manhattan
365,160,1.5,Brooklyn
29,599,1.5,Brooklyn
364,70,1.5,Queens
365,100,1.5,Brooklyn
0,59,1.5,Manhattan
195,60,1.5,Manhattan
37,135,1.5,Brooklyn
318,175,1.5,Brooklyn
92,120,1.5,Manhattan
125,149,1.5,Manhattan
39,165,1.5,Brooklyn
0,90,1.5,Manhattan
349,225,1.5,Manhattan
360,95,1.5,Brooklyn
0,90,1.5,Brooklyn
310,55,1.5,Brooklyn
87,95,1.5,Manhattan
252,199,1.5,Brooklyn
328,211,1.5,Manhattan
265,65,1.5,Manhattan
203,99,1.5,Manhattan
21,85,1.5,Manhattan
336,80,1.5,Brooklyn
317,175,1.5,Brooklyn
303,102,1.5,Brooklyn
0,87,1.5,Manhattan
320,190,1.5,Brooklyn
38,200,1.5,Brooklyn
47,165,1.5,Brooklyn
340,110,1.5,Manhattan
148,395,1.5,Manhattan
267,99,1.5,Brooklyn
365,999,1.5,Manhattan
174,189,1.5,Manhattan
0,85,1.5,Manhattan
0,260,1.5,Brooklyn
312,140,1.5,Manhattan
161,165,1.5,Brooklyn
258,97,1.5,Queens
0,125,1.5,Brooklyn
82,130,1.5,Manhattan
76,225,1.5,Brooklyn
161,50,1.5,Brooklyn
195,170,1.5,Brooklyn
0,132,1.5,Manhattan
84,250,1.5,Brooklyn
86,180,1.5,Manhattan
0,141,1.5,Brooklyn
22,64,1.5,Brooklyn
246,249,1.5,Brooklyn
0,79,1.5,Brooklyn
