Bookings,Daily_price,Size,Area
0.78,225,1.5,Manhattan
9.38,89,1.5,Brooklyn
1.18,200,1.5,Manhattan
0.76,60,1.5,Brooklyn
7.06,79,1.5,Manhattan
1.86,79,1.5,Manhattan
2.54,150,1.5,Manhattan
3.16,99,1.5,Manhattan
2.68,89,1.5,Brooklyn
1.88,85,1.5,Manhattan
0.42,120,1.5,Manhattan
2.68,140,1.5,Brooklyn
3.58,199,1.5,Brooklyn
4.64,140,1.5,Manhattan
8.74,99,1.5,Brooklyn
,190,1.5,Manhattan
0.14,299,1.5,Brooklyn
2.32,115,1.5,Brooklyn
1.26,32,1.5,Brooklyn
1.72,120,1.5,Brooklyn
,80,1.5,Manhattan
2.22,44,1.5,Manhattan
0.52,175,1.5,Manhattan
4.1,50,1.5,Manhattan
2.8,52,1.5,Manhattan
4.68,50,1.5,Manhattan
1.26,70,1.5,Brooklyn
2.8,89,1.5,Brooklyn
4.16,85,1.5,Brooklyn
,150,1.5,Brooklyn
3.5,40,1.5,Manhattan
4.14,68,1.5,Manhattan
1.46,135,1.5,Manhattan
1.74,150,1.5,Manhattan
0.88,150,1.5,Brooklyn
4.68,130,1.5,Queens
1.04,110,1.5,Brooklyn
0.2,120,1.5,Brooklyn
2.3,80,1.5,Brooklyn
2.36,80,1.5,Brooklyn
1.52,151,1.5,Manhattan
1.5,228,1.5,Brooklyn
6.16,149,1.5,Brooklyn
0.42,200,1.5,Manhattan
1.82,150,1.5,Brooklyn
1.32,85,1.5,Manhattan
0.32,110,1.5,Manhattan
5.24,69,1.5,Manhattan
0.64,180,1.5,Manhattan
0.82,90,1.5,Brooklyn
0.22,375,1.5,Manhattan
1.3,200,1.5,Manhattan
0.42,89,1.5,Brooklyn
2.6,200,1.5,Brooklyn
0.44,45,1.5,Brooklyn
3.16,100,1.5,Manhattan
0.26,225,1.5,Brooklyn
9.84,80,1.5,Manhattan
2.96,300,1.5,Brooklyn
2.56,99,1.5,Manhattan
3.42,225,1.5,Manhattan
0.84,240,1.5,Manhattan
3.16,65,1.5,Manhattan
2.1,105,1.5,Brooklyn
0.36,170,1.5,Manhattan
0.34,90,1.5,Queens
0.42,70,1.5,Queens
2.54,95,1.5,Brooklyn
3.36,150,1.5,Manhattan
0.94,110,1.5,Manhattan
1.28,285,1.5,Manhattan
0.3,130,1.5,Brooklyn
0.46,2000,1.5,Brooklyn
0.08,50,1.5,Manhattan
1.02,85,1.5,Brooklyn
0.64,65,1.5,Brooklyn
7.02,135,1.5,Brooklyn
0.42,98,1.5,Brooklyn
0.6,250,1.5,Brooklyn
2.94,100,1.5,Brooklyn
2.2,105,1.5,Brooklyn
1.36,140,1.5,Manhattan
0.36,89,1.5,Manhattan
0.6,80,1.5,Manhattan
2.32,125,1.5,Brooklyn
4.36,175,1.5,Brooklyn
1.08,500,1.5,Manhattan
5.88,101,1.5,Brooklyn
1.48,220,1.5,Brooklyn
2.84,125,1.5,Brooklyn
0.72,80,1.5,Brooklyn
3.36,100,1.5,Manhattan
0.38,200,1.5,Brooklyn
6.2,59,1.5,Manhattan
0.56,125,1.5,Brooklyn
0.24,140,1.5,Manhattan
7.96,120,1.5,Brooklyn
0.14,350,1.5,Manhattan
5.96,325,1.5,Brooklyn
0.52,235,1.5,Manhattan
2.12,225,1.5,Manhattan
6.1,99,1.5,Brooklyn
4.04,170,1.5,Manhattan
0.44,400,1.5,Brooklyn
0.34,170,1.5,Manhattan
0.44,100,1.5,Manhattan
0.36,150,1.5,Manhattan
1.1,70,1.5,Brooklyn
2.84,120,1.5,Manhattan
4.72,89,1.5,Brooklyn
1.56,185,1.5,Manhattan
3.54,50,1.5,Brooklyn
1.08,130,1.5,Manhattan
0.06,77,1.5,Brooklyn
7.7,76,1.5,Brooklyn
4.48,125,1.5,Brooklyn
1.56,135,1.5,Brooklyn
0.18,199,1.5,Brooklyn
0.06,160,1.5,Manhattan
0.06,140,1.5,Brooklyn
0.02,140,1.5,Queens
3.5,115,1.5,Brooklyn
0.26,160,1.5,Brooklyn
4.28,195,1.5,Brooklyn
1.7,44,1.5,Brooklyn
1.44,156,1.5,Manhattan
3.18,125,1.5,Brooklyn
0.08,115,1.5,Brooklyn
0.6,79,1.5,Manhattan
2.34,225,1.5,Manhattan
0.48,125,1.5,Brooklyn
0.42,150,1.5,Manhattan
1.24,162,1.5,Manhattan
2.3,219,1.5,Manhattan
0.5,475,1.5,Brooklyn
5.26,99,1.5,Manhattan
3.7,69,1.5,Brooklyn
0.76,119,1.5,Manhattan
3.2,150,1.5,Manhattan
0.5,79,1.5,Queens
5.84,135,1.5,Brooklyn
0.14,250,1.5,Manhattan
0.06,80,1.5,Manhattan
6.96,70,1.5,Brooklyn
2.94,165,1.5,Brooklyn
3.28,70,1.5,Staten Island
4.9,275,1.5,Manhattan
4.76,38,1.5,Bronx
3.34,150,1.5,Brooklyn
1.66,125,1.5,Manhattan
4.04,110,1.5,Brooklyn
1.52,170,1.5,Manhattan
1.66,165,1.5,Manhattan
0.66,150,1.5,Manhattan
2.08,100,1.5,Manhattan
4.32,65,1.5,Brooklyn
0.26,350,1.5,Queens
,55,1.5,Bronx
2.3,99,1.5,Manhattan
1.08,200,1.5,Brooklyn
0.98,150,1.5,Brooklyn
0.9,120,1.5,Brooklyn
3.84,90,1.5,Manhattan
0.54,175,1.5,Brooklyn
0.06,125,1.5,Manhattan
2.08,299,1.5,Manhattan
2.92,139,1.5,Brooklyn
,130,1.5,Manhattan
6.94,123,1.5,Manhattan
0.94,55,1.5,Queens
0.64,65,1.5,Brooklyn
1.16,195,1.5,Manhattan
0.72,80,1.5,Brooklyn
0.58,98,1.5,Queens
0.12,160,1.5,Queens
0.74,265,1.5,Queens
,190,1.5,Brooklyn
6.64,249,1.5,Brooklyn
0.18,105,1.5,Manhattan
,200,1.5,Manhattan
6.34,100,1.5,Brooklyn
2.2,160,1.5,Manhattan
3.48,42,1.5,Bronx
1.1,55,1.5,Queens
3.98,100,1.5,Manhattan
6.14,140,1.5,Brooklyn
0.74,71,1.5,Brooklyn
2.18,130,1.5,Manhattan
2.24,69,1.5,Brooklyn
0.66,85,1.5,Brooklyn
3.72,75,1.5,Manhattan
0.6,140,1.5,Queens
4.28,159,1.5,Brooklyn
3.66,189,1.5,Manhattan
2,250,1.5,Manhattan
0.12,239,1.5,Manhattan
2.24,308,1.5,Manhattan
4.4,155,1.5,Manhattan
9.38,60,1.5,Manhattan
0.54,139,1.5,Brooklyn
0.66,120,1.5,Manhattan
0.98,150,1.5,Manhattan
0.04,145,1.5,Queens
0.4,250,1.5,Manhattan
1.46,250,1.5,Manhattan
0.04,150,1.5,Manhattan
0.22,225,1.5,Manhattan
3.48,125,1.5,Manhattan
3.84,110,1.5,Manhattan
0.36,175,1.5,Manhattan
2.68,99,1.5,Manhattan
0.08,195,1.5,Manhattan
2.7,140,1.5,Manhattan
0.38,135,1.5,Manhattan
0.64,900,1.5,Manhattan
7.8,65,1.5,Manhattan
1.68,110,1.5,Manhattan
1.16,130,1.5,Manhattan
4.32,99,1.5,Brooklyn
3.7,38,1.5,Staten Island
2.94,38,1.5,Staten Island
2.7,129,1.5,Manhattan
3.48,37,1.5,Staten Island
3.54,175,1.5,Manhattan
1.42,205,1.5,Manhattan
2.34,285,1.5,Brooklyn
3.3,103,1.5,Manhattan
3.92,69,1.5,Brooklyn
7.26,38,1.5,Staten Island
8.98,129,1.5,Queens
0.16,60,1.5,Brooklyn
,90,1.5,Bronx
1.04,110,1.5,Bronx
4.84,135,1.5,Brooklyn
2.76,390,1.5,Manhattan
0.84,70,1.5,Brooklyn
0.26,75,1.5,Manhattan
0.26,60,1.5,Brooklyn
,200,1.5,Manhattan
5.54,100,1.5,Brooklyn
0.42,70,1.5,Brooklyn
2,75,1.5,Brooklyn
4.54,60,1.5,Brooklyn
3.88,68,1.5,Manhattan
4.84,115,1.5,Manhattan
1.22,75,1.5,Brooklyn
,60,1.5,Brooklyn
0.24,129,1.5,Manhattan
0.98,130,1.5,Brooklyn
2.78,95,1.5,Brooklyn
0.48,75,1.5,Manhattan
0.2,175,1.5,Brooklyn
1.34,190,1.5,Brooklyn
2.94,212,1.5,Manhattan
2.6,95,1.5,Manhattan
3.8,135,1.5,Manhattan
4.5,150,1.5,Brooklyn
1.72,190,1.5,Brooklyn
0.5,219,1.5,Manhattan
0.58,124,1.5,Manhattan
1.1,135,1.5,Brooklyn
2.08,122,1.5,Manhattan
2.1,109,1.5,Manhattan
1.3,85,1.5,Manhattan
2.66,145,1.5,Brooklyn
0.62,199,1.5,Manhattan
3.1,250,1.5,Brooklyn
3.92,575,1.5,Manhattan
0.42,199,1.5,Manhattan
1.04,150,1.5,Manhattan
2.58,90,1.5,Manhattan
1.18,65,1.5,Manhattan
0.36,130,1.5,Brooklyn
1.18,155,1.5,Brooklyn
1,500,1.5,Manhattan
0.86,265,1.5,Manhattan
0.84,125,1.5,Manhattan
0.86,200,1.5,Manhattan
0.92,229,1.5,Brooklyn
0.74,110,1.5,Bronx
0.72,110,1.5,Manhattan
0.76,59,1.5,Brooklyn
2.66,60,1.5,Manhattan
1.68,195,1.5,Brooklyn
1.3,169,1.5,Brooklyn
0.62,113,1.5,Manhattan
4.22,115,1.5,Queens
0.88,149,1.5,Manhattan
0.06,75,1.5,Brooklyn
4.68,95,1.5,Brooklyn
5.78,150,1.5,Manhattan
0.46,170,1.5,Brooklyn
7.96,169,1.5,Brooklyn
0.7,179,1.5,Brooklyn
0.88,150,1.5,Manhattan
0.18,135,1.5,Brooklyn
1.5,120,1.5,Brooklyn
3.68,65,1.5,Manhattan
0.16,349,1.5,Brooklyn
0.14,349,1.5,Brooklyn
0.04,249,1.5,Brooklyn
1.28,100,1.5,Brooklyn
1.8,200,1.5,Brooklyn
4.88,169,1.5,Manhattan
2.84,185,1.5,Brooklyn
4.64,65,1.5,Brooklyn
0.12,130,1.5,Brooklyn
0.76,225,1.5,Manhattan
0.32,179,1.5,Brooklyn
0.1,150,1.5,Brooklyn
7.92,159,1.5,Manhattan
4.48,95,1.5,Manhattan
0.24,79,1.5,Brooklyn
3.08,199,1.5,Manhattan
2.48,69,1.5,Manhattan
4.6,90,1.5,Brooklyn
1.8,120,1.5,Brooklyn
2.42,80,1.5,Queens
,100,1.5,Brooklyn
7.62,175,1.5,Brooklyn
2.06,120,1.5,Brooklyn
0.24,140,1.5,Brooklyn
0.14,200,1.5,Brooklyn
0.24,165,1.5,Brooklyn
0.36,130,1.5,Manhattan
2.5,60,1.5,Manhattan
0.28,123,1.5,Brooklyn
2.82,67,1.5,Manhattan
0.92,50,1.5,Queens
1.92,130,1.5,Brooklyn
0.62,279,1.5,Manhattan
0.7,100,1.5,Brooklyn
0.84,212,1.5,Manhattan
3.42,160,1.5,Brooklyn
0.18,599,1.5,Brooklyn
0.26,70,1.5,Queens
0.34,100,1.5,Brooklyn
21.98,59,1.5,Manhattan
7.72,60,1.5,Manhattan
1.78,135,1.5,Brooklyn
5.04,175,1.5,Brooklyn
1.22,120,1.5,Manhattan
1.14,149,1.5,Manhattan
0.06,165,1.5,Brooklyn
0.04,90,1.5,Manhattan
1.1,225,1.5,Manhattan
3.34,95,1.5,Brooklyn
,90,1.5,Brooklyn
5.08,55,1.5,Brooklyn
2.26,95,1.5,Manhattan
0.66,199,1.5,Brooklyn
1.5,211,1.5,Manhattan
0.7,65,1.5,Manhattan
6.66,99,1.5,Manhattan
3.06,85,1.5,Manhattan
4.64,80,1.5,Brooklyn
1.78,175,1.5,Brooklyn
1.64,102,1.5,Brooklyn
,87,1.5,Manhattan
1.24,190,1.5,Brooklyn
1.06,200,1.5,Brooklyn
0.44,165,1.5,Brooklyn
3.14,110,1.5,Manhattan
1.6,395,1.5,Manhattan
0.98,99,1.5,Brooklyn
0.28,999,1.5,Manhattan
8.42,189,1.5,Manhattan
0.06,85,1.5,Manhattan
0.06,260,1.5,Brooklyn
2.4,140,1.5,Manhattan
3.74,165,1.5,Brooklyn
2.02,97,1.5,Queens
0.28,125,1.5,Brooklyn
2.38,130,1.5,Manhattan
0.82,225,1.5,Brooklyn
5.44,50,1.5,Brooklyn
1.94,170,1.5,Brooklyn
0.2,132,1.5,Manhattan
0.42,250,1.5,Brooklyn
0.74,180,1.5,Manhattan
0.4,141,1.5,Brooklyn
1.46,64,1.5,Brooklyn
3.3,249,1.5,Brooklyn
2.2,79,1.5,Brooklyn
1.48,225,1.5,Manhattan
4.98,100,1.5,Brooklyn
0.76,900,1.5,Brooklyn
0.4,375,1.5,Manhattan
1.38,175,1.5,Manhattan
0.44,150,1.5,Manhattan
0.38,259,1.5,Manhattan
1.02,96,1.5,Manhattan
0.16,145,1.5,Brooklyn
0.2,95,1.5,Manhattan
1.5,295,1.5,Manhattan
0.34,175,1.5,Manhattan
1.72,451,1.5,Brooklyn
4.46,155,1.5,Manhattan
,250,1.5,Manhattan
5.26,69,1.5,Bronx
0.52,250,1.5,Manhattan
0.32,155,1.5,Brooklyn
8.8,129,1.5,Queens
0.16,98,1.5,Brooklyn
,150,1.5,Brooklyn
2.34,55,1.5,Manhattan
4.42,300,1.5,Manhattan
1.06,38,1.5,Queens
3.52,175,1.5,Manhattan
0.78,75,1.5,Manhattan
0.92,250,1.5,Brooklyn
1.7,72,1.5,Brooklyn
0.52,165,1.5,Brooklyn
2.52,135,1.5,Brooklyn
0.08,130,1.5,Brooklyn
8.18,139,1.5,Brooklyn
1.5,88,1.5,Brooklyn
0.96,80,1.5,Brooklyn
3.58,150,1.5,Manhattan
2.22,200,1.5,Manhattan
0.82,38,1.5,Queens
0.06,90,1.5,Brooklyn
1.4,450,1.5,Brooklyn
0.68,130,1.5,Brooklyn
4.26,89,1.5,Brooklyn
1,198,1.5,Manhattan
6.06,99,1.5,Manhattan
1.54,140,1.5,Manhattan
0.14,500,1.5,Brooklyn
0.62,32,1.5,Queens
3.64,250,1.5,Manhattan
27.18,60,1.5,Brooklyn
0.76,75,1.5,Manhattan
0.12,350,1.5,Brooklyn
0.08,205,1.5,Manhattan
0.06,219,1.5,Brooklyn
2.12,105,1.5,Brooklyn
0.22,175,1.5,Manhattan
0.88,170,1.5,Manhattan
2,75,1.5,Brooklyn
2.6,37,1.5,Bronx
1.8,85,1.5,Brooklyn
,106,1.5,Brooklyn
0.3,79,1.5,Manhattan
1.44,85,1.5,Brooklyn
0.38,215,1.5,Manhattan
0.52,250,1.5,Manhattan
8.66,49,1.5,Manhattan
5,91,1.5,Brooklyn
2.28,400,1.5,Manhattan
0.7,150,1.5,Brooklyn
0.6,2000,1.5,Manhattan
1.04,100,1.5,Manhattan
1.32,550,1.5,Manhattan
2.02,189,1.5,Manhattan
2.2,130,1.5,Manhattan
0.22,300,1.5,Manhattan
0.42,280,1.5,Queens
0.5,220,1.5,Queens
2.56,199,1.5,Manhattan
2.08,120,1.5,Manhattan
5.84,125,1.5,Bronx
5.1,70,1.5,Brooklyn
3.6,70,1.5,Brooklyn
0.12,100,1.5,Manhattan
4.1,99,1.5,Brooklyn
0.04,250,1.5,Manhattan
1.3,170,1.5,Brooklyn
1.26,165,1.5,Manhattan
0.48,85,1.5,Brooklyn
2.08,99,1.5,Manhattan
0.02,255,1.5,Manhattan
3.86,169,1.5,Brooklyn
2,99,1.5,Brooklyn
0.78,169,1.5,Manhattan
0.92,160,1.5,Brooklyn
0.72,215,1.5,Brooklyn
4.14,130,1.5,Brooklyn
1.56,111,1.5,Manhattan
0.92,139,1.5,Manhattan
3.46,75,1.5,Queens
0.5,149,1.5,Manhattan
4.5,50,1.5,Manhattan
35.42,43,1.5,Brooklyn
1.74,42,1.5,Brooklyn
1.72,85,1.5,Brooklyn
4.46,105,1.5,Brooklyn
0.3,265,1.5,Brooklyn
7.68,68,1.5,Manhattan
1.82,175,1.5,Manhattan
4.4,99,1.5,Brooklyn
5.56,100,1.5,Brooklyn
,90,1.5,Manhattan
0.5,160,1.5,Manhattan
0.66,100,1.5,Brooklyn
2.94,190,1.5,Brooklyn
1.42,67,1.5,Brooklyn
0.16,190,1.5,Manhattan
1.26,248,1.5,Brooklyn
0.18,100,1.5,Brooklyn
3.8,95,1.5,Manhattan
13.48,150,1.5,Manhattan
2.62,145,1.5,Brooklyn
1.26,41,1.5,Brooklyn
2.06,120,1.5,Brooklyn
0.28,157,1.5,Brooklyn
0.72,195,1.5,Brooklyn
2.52,70,1.5,Brooklyn
0.64,125,1.5,Manhattan
0.28,185,1.5,Brooklyn
0.96,145,1.5,Brooklyn
5.72,50,1.5,Queens
4.44,185,1.5,Brooklyn
0.32,150,1.5,Brooklyn
1.42,250,1.5,Manhattan
0.38,80,1.5,Manhattan
3.88,230,1.5,Manhattan
0.18,100,1.5,Brooklyn
3.36,79,1.5,Brooklyn
0.54,200,1.5,Queens
0.9,300,1.5,Manhattan
0.14,100,1.5,Brooklyn
0.72,80,1.5,Manhattan
0.54,110,1.5,Brooklyn
0.8,100,1.5,Manhattan
1.98,55,1.5,Manhattan
1.16,75,1.5,Brooklyn
3.02,146,1.5,Manhattan
0.44,102,1.5,Brooklyn
0.5,100,1.5,Brooklyn
0.68,199,1.5,Manhattan
4.46,127,1.5,Manhattan
0.46,150,1.5,Brooklyn
1.3,69,1.5,Manhattan
0.42,230,1.5,Brooklyn
0.08,95,1.5,Manhattan
2.68,79,1.5,Brooklyn
3.24,140,1.5,Brooklyn
3.62,191,1.5,Brooklyn
1.58,75,1.5,Staten Island
2.84,220,1.5,Brooklyn
6,80,1.5,Brooklyn
4.94,80,1.5,Brooklyn
3.1,250,1.5,Manhattan
1.76,135,1.5,Brooklyn
1.18,110,1.5,Manhattan
3.08,100,1.5,Brooklyn
1.08,130,1.5,Manhattan
5.82,89,1.5,Queens
0.02,200,1.5,Brooklyn
0.88,99,1.5,Brooklyn
2.26,140,1.5,Manhattan
0.62,70,1.5,Queens
0.04,270,1.5,Manhattan
6.48,110,1.5,Brooklyn
1.72,179,1.5,Manhattan
0.48,55,1.5,Queens
1.3,110,1.5,Manhattan
1.94,325,1.5,Manhattan
1.36,75,1.5,Queens
1.06,45,1.5,Queens
0.9,300,1.5,Brooklyn
1.7,89,1.5,Manhattan
