Occupancy_rate,Daily_price,Size,Area
18.2,225,1.5,Manhattan
70,89,1.5,Brooklyn
25.2,200,1.5,Manhattan
70,60,1.5,Brooklyn
70,79,1.5,Manhattan
39.7,79,1.5,Manhattan
54.2,150,1.5,Manhattan
67.4,99,1.5,Manhattan
57.2,89,1.5,Brooklyn
40.1,85,1.5,Manhattan
70,120,1.5,Manhattan
57.2,140,1.5,Brooklyn
70,199,1.5,Brooklyn
70,140,1.5,Manhattan
70,99,1.5,Brooklyn
70,190,1.5,Manhattan
3,299,1.5,Brooklyn
49.5,115,1.5,Brooklyn
26.9,32,1.5,Brooklyn
36.7,120,1.5,Brooklyn
70,80,1.5,Manhattan
47.4,44,1.5,Manhattan
11.1,175,1.5,Manhattan
70,50,1.5,Manhattan
59.7,52,1.5,Manhattan
70,50,1.5,Manhattan
26.9,70,1.5,Brooklyn
59.7,89,1.5,Brooklyn
70,85,1.5,Brooklyn
70,150,1.5,Brooklyn
70,40,1.5,Manhattan
70,68,1.5,Manhattan
31.1,135,1.5,Manhattan
40.6,150,1.5,Manhattan
41.1,150,1.5,Brooklyn
70,130,1.5,Queens
24.3,110,1.5,Brooklyn
4.3,120,1.5,Brooklyn
49.1,80,1.5,Brooklyn
50.3,80,1.5,Brooklyn
32.4,151,1.5,Manhattan
32,228,1.5,Brooklyn
70,149,1.5,Brooklyn
9.8,200,1.5,Manhattan
70,150,1.5,Brooklyn
28.2,85,1.5,Manhattan
6.8,110,1.5,Manhattan
70,69,1.5,Manhattan
13.7,180,1.5,Manhattan
17.5,90,1.5,Brooklyn
70,375,1.5,Manhattan
27.7,200,1.5,Manhattan
16.8,89,1.5,Brooklyn
70,200,1.5,Brooklyn
10.3,45,1.5,Brooklyn
70,100,1.5,Manhattan
5.5,225,1.5,Brooklyn
70,80,1.5,Manhattan
63.1,300,1.5,Brooklyn
54.6,99,1.5,Manhattan
70,225,1.5,Manhattan
17.9,240,1.5,Manhattan
67.4,65,1.5,Manhattan
44.8,105,1.5,Brooklyn
7.7,170,1.5,Manhattan
7.9,90,1.5,Queens
19.6,70,1.5,Queens
54.2,95,1.5,Brooklyn
