Review_scores,Daily_price,Size,Area
94,225,1.5,Manhattan
90,89,1.5,Brooklyn
90,200,1.5,Manhattan
90,60,1.5,Brooklyn
84,79,1.5,Manhattan
98,79,1.5,Manhattan
94,150,1.5,Manhattan
97,99,1.5,Manhattan
94,89,1.5,Brooklyn
93,85,1.5,Manhattan
97,120,1.5,Manhattan
91,140,1.5,Brooklyn
97,199,1.5,Brooklyn
96,140,1.5,Manhattan
95,99,1.5,Brooklyn
,190,1.5,Manhattan
98,299,1.5,Brooklyn
93,115,1.5,Brooklyn
92,32,1.5,Brooklyn
95,120,1.5,Brooklyn
,80,1.5,Manhattan
83,44,1.5,Manhattan
94,175,1.5,Manhattan
87,50,1.5,Manhattan
98,52,1.5,Manhattan
89,50,1.5,Manhattan
93,70,1.5,Brooklyn
95,89,1.5,Brooklyn
87,85,1.5,Brooklyn
,150,1.5,Brooklyn
96,40,1.5,Manhattan
88,68,1.5,Manhattan
95,135,1.5,Manhattan
96,150,1.5,Manhattan
97,150,1.5,Brooklyn
98,130,1.5,Queens
89,110,1.5,Brooklyn
95,120,1.5,Brooklyn
94,80,1.5,Brooklyn
93,80,1.5,Brooklyn
92,151,1.5,Manhattan
94,228,1.5,Brooklyn
97,149,1.5,Brooklyn
96,200,1.5,Manhattan
97,150,1.5,Brooklyn
83,85,1.5,Manhattan
98,110,1.5,Manhattan
93,69,1.5,Manhattan
91,180,1.5,Manhattan
97,90,1.5,Brooklyn
100,375,1.5,Manhattan
93,200,1.5,Manhattan
79,89,1.5,Brooklyn
99,200,1.5,Brooklyn
92,45,1.5,Brooklyn
89,100,1.5,Manhattan
100,225,1.5,Brooklyn
95,80,1.5,Manhattan
94,300,1.5,Brooklyn
93,99,1.5,Manhattan
97,225,1.5,Manhattan
96,240,1.5,Manhattan
98,65,1.5,Manhattan
99,105,1.5,Brooklyn
97,170,1.5,Manhattan
99,90,1.5,Queens
100,70,1.5,Queens
97,95,1.5,Brooklyn
99,150,1.5,Manhattan
94,110,1.5,Manhattan
88,285,1.5,Manhattan
94,130,1.5,Brooklyn
93,2000,1.5,Brooklyn
60,50,1.5,Manhattan
97,85,1.5,Brooklyn
86,65,1.5,Brooklyn
98,135,1.5,Brooklyn
89,98,1.5,Brooklyn
99,250,1.5,Brooklyn
81,100,1.5,Brooklyn
90,105,1.5,Brooklyn
93,140,1.5,Manhattan
100,89,1.5,Manhattan
99,80,1.5,Manhattan
92,125,1.5,Brooklyn
94,175,1.5,Brooklyn
88,500,1.5,Manhattan
95,101,1.5,Brooklyn
96,220,1.5,Brooklyn
93,125,1.5,Brooklyn
92,80,1.5,Brooklyn
95,100,1.5,Manhattan
98,200,1.5,Brooklyn
91,59,1.5,Manhattan
96,125,1.5,Brooklyn
97,140,1.5,Manhattan
99,120,1.5,Brooklyn
91,350,1.5,Manhattan
96,325,1.5,Brooklyn
92,235,1.5,Manhattan
94,225,1.5,Manhattan
98,99,1.5,Brooklyn
95,170,1.5,Manhattan
95,400,1.5,Brooklyn
92,170,1.5,Manhattan
97,100,1.5,Manhattan
99,150,1.5,Manhattan
93,70,1.5,Brooklyn
92,120,1.5,Manhattan
98,89,1.5,Brooklyn
95,185,1.5,Manhattan
98,50,1.5,Brooklyn
97,130,1.5,Manhattan
87,77,1.5,Brooklyn
90,76,1.5,Brooklyn
93,125,1.5,Brooklyn
97,135,1.5,Brooklyn
100,199,1.5,Brooklyn
100,160,1.5,Manhattan
90,140,1.5,Brooklyn
80,140,1.5,Queens
92,115,1.5,Brooklyn
100,160,1.5,Brooklyn
99,195,1.5,Brooklyn
100,44,1.5,Brooklyn
98,156,1.5,Manhattan
94,125,1.5,Brooklyn
70,115,1.5,Brooklyn
95,79,1.5,Manhattan
98,225,1.5,Manhattan
88,125,1.5,Brooklyn
99,150,1.5,Manhattan
90,162,1.5,Manhattan
95,219,1.5,Manhattan
93,475,1.5,Brooklyn
84,99,1.5,Manhattan
96,69,1.5,Brooklyn
97,119,1.5,Manhattan
91,150,1.5,Manhattan
98,79,1.5,Queens
94,135,1.5,Brooklyn
100,250,1.5,Manhattan
80,80,1.5,Manhattan
91,70,1.5,Brooklyn
92,165,1.5,Brooklyn
96,70,1.5,Staten Island
98,275,1.5,Manhattan
98,38,1.5,Bronx
95,150,1.5,Brooklyn
95,125,1.5,Manhattan
94,110,1.5,Brooklyn
95,170,1.5,Manhattan
90,165,1.5,Manhattan
97,150,1.5,Manhattan
96,100,1.5,Manhattan
98,65,1.5,Brooklyn
88,350,1.5,Queens
,55,1.5,Bronx
93,99,1.5,Manhattan
